facility name,physical address,city
Brisewise Pharmcy,Shop 6Beverly Court 100 N.Mandela Avenue,Harare
Dental Practice,"8 Village Walk, Borrowdale Road",Harare
Department Of Microbiology University Of Zimbabwe,Parirenyatwa Hospital Ground Mazowe Street,Harare
Diamond Pharmacy-Masvingo,400 Robert Mugabe Way,Masvingo
Dis Smart Inv T/A New Murewa Pharmacy,571 Chigaga Complexmurewa Township,Murewa
Dr Kundiona Surgery,16 Cleveland Avenuemilton Park,Harare
Fife Avenue Medical Centre Radiology,186 Fife Avenue,Harare
Haematology Centre,26 Blakiston Avenue Cnr Chinamano,Harare
Medical Specialists Centre,8 Elseworth Road Alexandra Park,Harare
Sky Dental Clinic,106B Corner 4Th St And N. Mandeza Ave,Harare
Sky Dental Clinic,104 Nelson Mandela,Harare
Trinity Pharmacy,Stand 11798 Hatcliffe Extension,Harare
Westview Family Clinic,131 Westview Glendale,Harare
10Th Street Clinic,"98C, 10Th Street",Gweru
17 Chiremba Road Medical Centre,17 Chiremba Road Hillside,Harare
24 Hour Emergency Polyclinic,52A Cnr Robert Mugabe Way & 4Th Avenue,Bulawayo
24 Hour Emergency Polyclinic,"52A Robert Mugabe Way, 4Th Avenue",Bulawayo
24 Hour Health Centre,1297 Gona Crescent Dombotombo,Marondera
24 Hr Medical Centre,1120 Nketa 6,Bulawayo
24 St Mary'S Medical Centre,306 Chatira Buildingst Mary'S,Chitungwiza
24Hr Kensington Medical Centre,1 Kenny Roadkensington,Harare
24Hr Kensington Pharmacy,1 Kenny Road,Harare
2H Health Hub Pharmacy,1519 Low Density,Filabusi
35 Fife Avenue Hospital,35 Fife Avenue,Harare
360 Care Pharmacy,2 Albany Court27,Harare
3Rd Avenue Pharmacy,49 Doolabh Building 3Rd Avenue & Lobengula Street,Bulawayo
3Rd Avenue Pharmacy-Plumtree,16 Thekwani Road,Plumtree
4Th Street Dental Surgery,102 Nelson Mandela Greyhurst Building Suite 5,Harare
4Th Street Family Practice,Suite 3 65 - 4Th Street,Mutare
52 East Medical Centre (Dr Mudawarima),52 East Road Avondale,Harare
52 East Medical Centre-(Dr Manase),52 East Road Avondale,Harare
52 East Medical Centre-(Dr Viki),52 East Road Avondale,Harare
6Th Avenue Pharmacy,Corner Jason Moyo And 6Th Avenue,Bulawayo
6Th Street Dental Clinic,34 6Th Street,Gweru
90 Fife Ave Medical Clinic,90 Fife Avenue,Harare
911 Direct,"Stand 286, Adylinnbluffhill",Harare
9Th Avenue Surgery,Shop 339Th Avenue And Herbert Chitepo,Bulawayo
A A Pharmacy,Stand 24588 Pumula South,Bulawayo
A Chinhara Orthodontic Practice,52 East Road,Harare
A Chinhara Orthodontic Practice,52 East Roadavondale,Harare
A. Chinhara Orthodontic Practice,Shop 10 & 11 Upstairs Zonkizizwe Shops,Bulawayo
A.O Clinic,26 Napier Road,Mvuma
Absolute Dental Services,"Flat 5 Masasa Court, 56B First Street",Marondera
Abundant Life Pharmacy,86 Robert Mugabe Way,Harare
Abwa Health (Physio),119 Pendennis Roadmt Pleasant,Harare
Abwa Health Surgery,119 Pendennis Road,Harare
Abwa Medical Centre,40 Murara Streetmufakose,Harare
Ac View Imaging Solutions,343 Seignuery Road,Chegutu
Acacia Pharmacy,Shop 17 46 Robson Manyika Avenue,Harare
Access Clinical Laboratories,19 Baines Avenue,Harare
Access Pharmaceuticals,3Stourbridge Roaddonnington,Bulawayo
Access Pharmaceuticals,19 Steelworks Roadsteeldale,Bulawayo
Access Radiology Pvt Ltd,76-8Th Street,Gweru
Acculife Pharmacy,19247,Harare
Accurate X-Ray,9 Baker Street,Kadoma
Accutech Pathology Laboratories,133 Nelson Mandela Avenue/6Th Street,Harare
Ace Air & Ambulance - Bulawayo,3 St Luke Avenuegarden Park,Bulawayo
Ace Air & Ambulance (Pvt) Ltd Victoria Falls,"Elephant Walk Shopping Villageoffice 6, Second Flooravondale",Victoria Falls
Ace Air & Ambulance- Avondale,2 Mount Roadavondale,Harare
Ace Air & Ambulance Clinic,89 Madzima Streetmbare,Harare
Ace Air & Ambulance Covid19 Testing,No. 2 Mount Roadavondale,Harare
Ace Air & Ambulance Pvt Ltd Mutare,Suite 11 2Nd Floorno.123,Mutare
Active Life Physiotherapy,Flat 6 31 Baines Ave,Harare
Acute & Chronic Medical Unit (Dr H. Z Kuzanga),Suite 301 Lancet House9Th Avenue/Josiah Tongogara,Bulawayo
Ad Med Suppliers (Pvt) Ltd,5Routledgemilton Park,Harare
Ad-Care Pharmacy- Haylet House,Shop 3 Halyet House9Th Ave,Bulawayo
Adnah Medical Centre,"Stand 64, Madziva Township",Shamva
Advanced Care Clinic,369 Stotford Parademabelreign,Harare
Advanced Diagnostics Solutions,19755 Unit Dseke,Chitungwiza
Advanced Medicine Unit (A.M.U),50 Harvey Brown Avenuemilton Park,Harare
Adventist Dental Services,4 Princess Drivenewlands,Harare
Adventist Health Clinic,"Fountain Court, Corner Kwame Nkrumah Avenue / Park Street",Harare
Adventist Health Clinic - Ultrasound Scan,"Suite 5 Fountain Court, Corner Park Street/Kwame Nkrumah",Harare
Aedan Ambulances,3810 Nhoro Roadwindsor Park,Ruwa
Aedan Hospital,3810 Nhoro Roadwindsor Park,Ruwa
Aedan Pharmacy,5810 Nhoro Closewindsor Park,Ruwa
Aerod Pharmacy-Bindura,7873 Acrodrome,Bindura
Affinity Pharmacy,58Chipindura Shops,Bindura
Afgate Clinic,"1St Floor, Afgate House, Cnr George Silundika / S.V Muzenda Street",Harare
Africa Diagnostics Bleeding Centre,Shop 5Southerton Shopping Centresouthern,Harare
Africa Diagnostics Imaging,40 Josiah Chinamano Avenue,Harare
Africa Diagnostics Laboratory,60 Livingstone Avenue Cancer Centre,Harare
Africa Diagnostics T/A St Wilfred'S Clinical Laboratory,Plot 2466Kambuzuma Section 6,Harare
Africa Dignostics Clinic,60 Livingstone Avenue,Harare
Africa House Medical Centre,100 Jason Moyo Avenue,Harare
Africa University Clinic,Off Nyanga Roadno. 1 Fairview Road,Mutare
Africa University Clinical Research Centre,132 Herbert Chitepo Street,Mutare
Africa University Medical Research And Teaching Laboratory,Fairview Road / Off Nyanga Road,Mutare
African Chrome Fields Clinic,Plant 0 Chenyika Range,Kwekwe
Afrident Services,100 Jason Moyo Avenue,Harare
Afrihealth Pharmacy,1024 Gokwe Centre,Gokwe
Afrihelp Pharmacy,1024Gokwe Centre,Gokwe
Afropharm Health Pharmacy,Shop 24Stand 12248Sifra Complex,Harare
Afropharm Health Pharmacy,Shop 4Stand 14282Kuwadzana Extension,Harare
Afropharm Health Pharmacy-Dzivarasekwa,Shop 4Kembo Shops Dzivarasekwa Extension,Harare
Afrow Pharmacy,10217 Western Triangle Highfields,Harare
Agape Medical Clinic,64Shuvai Mahofa Street,Masvingo
Agape Medical Clinic,Number 64 Shuvai Mahofa Street,Masvingo
Aids Healthcare Foundation Wellness Centre,Stand Number 10251 Glenview 8,Harare
Airport Road Dental Clinic,3 Airport Roadcorner Airport & St Patricks,Harare
Akpen Makumbe Surgery,154 Moodie Street,Chipinge
Al Davies Clinic,24 Border Road,Kwekwe
Alaska Clinic,Alaska Mine Hospitalstand No. 28259 Alaska,Chinhoyi
Albert Zinn Medical Centre,31 Rhodesville Avenuehighlands,Harare
Albert Zinn Medical Centre-Highlands,31 Rhodesville Avenuehighlands,Harare
Albion House Dental Surgery,"12660 Albion House, Albion Street",Harare
Alexandra Park Theatre,11 Dunkirk Drivealexandra Park,Harare
Alice Medical Clinic,2416 Nungu Chitepo,Marondera
Alimedi Pharmacy,78 Kaguvi Street,Harare
Alioth Pharmacy,Stand Number 571 Watsomba,Mutare
Alivio Pharmacy,92 Northfolk Roadmt Pleasant,Harare
All Saints Children'S Hospital,20 Lincoln Roadhillside,Bulawayo
Alldays Pharmacy,14099 Cnr 10Th Avenue/Jmn Street,Bulawayo
Allergy Pharmacy,113 Kwame Nkrumah Avenue,Harare
Alleviate Pharmacy,18 Aerodrome Road,Mutare
Alliance Pharmacy,97 R.G Mugabe Way,Zvishavane
Alliemed Pharmacy,22296 Kuwadzana 2,Harare
Allies Pharmacy,Esihlengweni Suite 387 Josiah Tongogara Ave & 9Th Ave,Bulawayo
Allymac Pharmacy,Shop 1 Stand 14043 Brundish Shopping Centre,Chinhoyi
Almond Pharmacy,Number 146 Chinhoyi Street,Harare
Alowell Avondale Pharmacy,14A King George Roadavondale,Harare
Alowell Pharmacy,"Std Number 18010, 30 Chiremba Roadhillside",Harare
Alowell Pharmacy,585 Isaac Cornersam Levy,Harare
Alowell Pharmacy,46 Connet Rise Bond Streetmt Pleasant,Harare
Alowell Pharmacy - Masvingo,39-41 Cnr J. Tongogara & S. Muzenda,Masvingo
Alowell Pharmacy-Glenview,Stand No12279 Makomvaglenview 8,Harare
Alpha Medical Centre,61232 Gwatidzo Streetmbare,Harare
Alpha Medical Clinic Pvt Ltd,55 4Th Street,Mutare
Alphamed Pharmacy,Stand 5932 Angelbecks Plot Mbare,Harare
Alpom Pharmacy,8989 Spitzkop Business Centre,Gwanda
Alps Dental,33 Teviotdale Roadvainona,Harare
Alro Transport Industrial Clinic,No. 18418/9Mukuvisi Office Park,Harare
Am Surgery,17328 Ngoni,Norton
Amason Dental - Hillside Dental Surgery,183 Chiremba Roadbj Southgate Mallbraeside,Harare
Amason Dental- Cleveland Dental Surgery,Cleveland Medical Centre24 Cleveland Roadmilton Park,Harare
Amason Dental Ngezi,Stand Number 905 Turf Gp,Ngezi
Amason Dental Surgery,167 Chinhoyi Street,Harare
Amason Dental Turf Dental Surgery,"5517 Turf, Ngezi",Mhondoro
Amaveni Clinic,Amaveni Township,Kwekwe
Amazing Grace Surgery,Number 4 First Streetparadise,Marondera
Amen Health For Women Clinic - Harare,104 Prince Edward Streetmilton Park,Harare
Amit-Care Radiology,127 Mbuya Nehanda,Harare
Ampath Medical Laboratories,3A Mupani Rdold Marimba,Harare
Ams Medical Laboratories,Shop 5Block Ccipf Complex,Ruwa
Amstes Surgery,2854 Dulibadzimu,Beitbridge
Anchor Distributors,104 Mcchelry Avenueeastlea,Harare
Anderen Health Surgery,53 Simon Muzenda Street,Masvingo
Andylee Medicals - Rimbi Surgery,Rimbi Business Centre,Chipinge
Angel Pharmacy,96/97 Main Street,Chipinge
Anglican Wabvuwi Memorial Clinic,Ward 16 St Clares Mission,Murewa
Angwa Dental Surgery,"No. 6 George Silundika, Angwa House",Harare
Anjin Industrial Clinic,Nechirasika Villagechiadzwa,Mutare
Annegold Healthcare,8 Luciano Court,Chinhoyi
Anosimudza Psychological Services,"4 Cuba Road, Venus Healthcaremt Pleasant",Harare
Apex 2 Surgery,199 Birchenough Bridge,Birchenough Bridge
Apex 24 Emergency Rooms,14663 Damafalls Park 1 Ruwa,Harare
Apex 24 Pharmacy,14663 Damafalls,Harare
Apex Dental Services,58 6Th Street,Gweru
Apex Dental Services,Stand Number 14663Phase 1Damofalls,Ruwa
Apex Medical Centre,"Stand 461 Moses Zuva Complex,",Shurugwi
Apex Medical Laboratories,"1 Swiss Way, Harare Hospital Grounds",Harare
Apex Pharmacy,Shop 3 Elizabeth Mansions 65 6Th Street,Gweru
Apex Pharmacy - Macheke,327 Nyazema Shops,Macheke
Apex Radiology,43 4Th Street Winston Park,Marondera
Apoc Medical Clinic,"Shop Number 5 Longchen Plaza, Cnr Samora & Mutley Bendbelvedere",Harare
Apotheca Pharmacy - Willowvale,"Bay 3 Mashwede Village Highglen, Stand 11310 Mashwede Mall",Harare
,,
Apple Pharmacy,Shop G02Forestry Commissin Building71 Fife Street,Bulawayo
Aquamed Pharmacy,Shop 5Kingsmead House154 Mbuya Nehanda,Harare
Aravas Pharmaceuticals,4471 Prospect Industrial Area Waterfalls,Harare
Araya Physiotherapy,32Josiah Tongogara Avenue,Harare
Arc Pharmacy,19622/15Dube Complex Mbizo,Kwekwe
Arcade Pharmacy,Shop No. 4First Mutual Centre,Mutare
Arcadia Medical Centre,2A Bardia Roadarcadia,Harare
Arcadia Medical Centre Pharmacy,2Bardia Roadarcadia,Harare
Archmed Diagnostic Services,Corner 2Nd And 3Rd Street,Kwekwe
Arco-Iris Family Clinic,"12 Volendam Court, Corner Harare Street & Tongogara",Harare
Arcturus Mine Clinic,P.Box 14Arcturusgreendale,Harare
Arda Medical Centre,Stand Number 1985,Sanyati
Ardbennie Dental Surgery,1561 Fairview Roadmbare,Harare
Ardbennie Medical Centre,1St Floor Karigamudungwe Building1561 Finnerman Roadardbennie,Harare
Ardbennie Pharmacy,1 Boshoff Driveardbennie,Harare
Ariedem Healthcare,1004 St Marys,Chitungwiza
Arimed Pharmacy,"20 Ndongwe Road, Old Tafara Shops",Harare
Arimed Pharmacy,"Stand 40381, Mch Fuels Complex",Harare
Arm Heyes Optometrist (Pvt) Ltd,No. 2 Zb House First Street Cnr Speke Avenue,Harare
Arm Heyes Optometrist (Pvt) Ltd - Zb House,96 Fife Avenue Cnr Sam Nujoma Street,Harare
Arundel Hospital Radiology,92Northfolk Road,Harare
Arundel Village Pharmacy,Shop 13&14Arundel Shopping Centrequorn Avenue,Harare
Asamed Pvt Ltd T/A One Stop Pharmacy,Shop Number 6Lapf Centrecorner Jason Moyo/Chinhoyi Street,Harare
Asca Health Care Pvt Ltd,Unit 1 Finance Hse60,Harare
Asclepius Pharmacy,212 Willowcreekgoodhope,Harare
Ascot Pharmacy,Shop 27 Ascot Shopping Centre,Bulawayo
Asdepius Medical Centre T/A Goodhope 24Hr,212 Willowcreekgoodhope,Harare
Ashbrittle Pharmacy,"44 Golden Stairs, Emerald Hill, Harare",Harare
Asher Pharmacy,5551Budiriro 4 Shopsbudiriro,Harare
Ashvee Dental Surgery,1058,Beitbridge
Aspindale Dental Clinic,3Amupani Roadold Marimba,Harare
Aspired Healthcare Family Practice,135 Kwame Nkrumah,Harare
Assisthealth Pharmacy,26606 Budiriro 2 Townshipshop 4,Harare
Asteroid Health,Flat 8 Kennedy Courtchimoi Street,Rusape
Asthma Allergy And Immunology Clinic,3770 Malindela,Bulawayo
Astra Industrial Clinic,14 Burnely Road Workington,Harare
Astra Paints Clinic,6272 Donnington,Bulawayo
Astra Pharmacy Nyanga,318Nyamhuka 1 Shops,Nyanga
Astrid Ambulances,17A 2Nd Avenue &Fife Avenue,Bulawayo
Athlone Family Clinic,85 Greengrove Drivegreendale,Harare
Athol Evans Nursing Home,P.O Box Cr70Cranbourne,Harare
Athol Evans Nursing Home,117Achiremba Roadcranborne,Harare
Atidacheryl Investments T/A Aci Medical Centre,1009 1St Streethatcliffe,Harare
Atlaspharm Pharmacy,"Number 1, 1St Avenuemabelreign",Harare
Attellus Laboratory,1146Town Centre,Norton
Audiomax (2010) Pvt Ltd,Number 14656 Hadzinanhanga Roadzengeza 4,Chitungwiza
Audiomax 2010 Mutare Medical Centre,Suite 173Rd Floorh.Chitepo Street,Mutare
Audiomax Clinic,93 Baines Avenue,Harare
Audiomax Clinic - Dr. Sharai Shamu,93 Baines Avenue,Harare
Audiomax2010(Pvt)Ltd,93Baines Avenuecorner 2Nd And Baines Avenue,Harare
Audiovannah Audiology Clinic,1 Borrowdale Laneborrowdale,Harare
Avail Medical Centre,2846 Northwood,Chivhu
Avail Medical Centre Radiology,2846 Northwood,Chivhu
Avante Clinic,Stand Number 4684Izayi Park,Zvishavane
Avaset Pharmacy,1587 Chiwaridzo,Bindura
Avatist Clinic-Chipinge,567 Gaza Township,Chipinge
