Facility Name,Physical Address,City,Latitude,Longitude,Geocode_Status
Brisewise Pharmcy,Shop 6Beverly Court 100 N.Mandela Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Dental Practice,"8 Village Walk, Borrowdale Road",Harare,-17.8567035,31.0601584,Exact / Approximate
Department of Microbiology University of Zimbabwe,Parirenyatwa Hospital Ground Mazowe Street,Harare,-17.8567035,31.0601584,Exact / Approximate
Diamond Pharmacy-Masvingo,400 Robert Mugabe Way,Masvingo,-20.079094,30.8314367,Exact / Approximate
Dis Smart Inv T/A New Murewa Pharmacy,571 Chigaga ComplexMurewa Township,Murewa,-17.646074,31.777541,Exact / Approximate
Dr Kundiona Surgery,16 Cleveland AvenueMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Fife Avenue Medical Centre Radiology,186 Fife Avenue,Harare,-17.8207561,31.0477721,Exact / Approximate
Haematology Centre,26 Blakiston Avenue Cnr Chinamano,Harare,-17.8567035,31.0601584,Exact / Approximate
Medical Specialists Centre,8 Elseworth Road Alexandra Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Sky Dental Clinic,106B Corner 4th St and N. Mandeza Ave,Harare,-17.8567035,31.0601584,Exact / Approximate
Sky Dental Clinic,104 Nelson Mandela,Harare,-17.8289446,31.0497324,Exact / Approximate
Trinity Pharmacy,Stand 11798 Hatcliffe Extension,Harare,-17.8567035,31.0601584,Exact / Approximate
Westview Family Clinic,131 Westview Glendale,Harare,-17.8567035,31.0601584,Exact / Approximate
10th Street Clinic,"98C, 10th Street",Gweru,-19.4595028,29.8110948,Exact / Approximate
17 Chiremba Road Medical Centre,17 Chiremba Road Hillside,Harare,-17.8567035,31.0601584,Exact / Approximate
24 Hour Emergency Polyclinic,52A Cnr Robert Mugabe Way & 4th Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
24 Hour Emergency Polyclinic,"52A Robert Mugabe Way, 4th Avenue",Bulawayo,-20.1560599,28.5887063,Exact / Approximate
24 Hour Health Centre,1297 Gona Crescent Dombotombo,Marondera,-18.190098,31.545542,Exact / Approximate
24 Hr Medical Centre,1120 Nketa 6,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
24 St Mary's Medical Centre,306 Chatira BuildingSt Mary's,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
24Hr Kensington Medical Centre,1 Kenny RoadKensington,Harare,-17.8567035,31.0601584,Exact / Approximate
24HR Kensington Pharmacy,1 Kenny Road,Harare,-17.8055671,31.0361454,Exact / Approximate
2H Health Hub Pharmacy,1519 Low Density,Filabusi,-20.535687,29.284797,Exact / Approximate
35 Fife Avenue Hospital,35 Fife Avenue,Harare,-17.8207561,31.0477721,Exact / Approximate
360 Care Pharmacy,2 Albany Court27,Harare,-17.8567035,31.0601584,Exact / Approximate
3rd Avenue Pharmacy,49 Doolabh Building 3rd Avenue & Lobengula Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
3rd Avenue Pharmacy-Plumtree,16 Thekwani Road,Plumtree,-20.4880677,27.805601,Exact / Approximate
4th Street Dental Surgery,102 Nelson Mandela Greyhurst Building Suite 5,Harare,-17.8567035,31.0601584,Exact / Approximate
4th Street Family Practice,Suite 3 65 - 4th Street,Mutare,-18.974656,32.670473,Exact / Approximate
52 East Medical Centre (Dr Mudawarima),52 East Road Avondale,Harare,-17.800373,31.0425039,Exact / Approximate
52 East Medical Centre-(Dr Manase),52 East Road Avondale,Harare,-17.800373,31.0425039,Exact / Approximate
52 East Medical Centre-(Dr Viki),52 East Road Avondale,Harare,-17.800373,31.0425039,Exact / Approximate
6th Avenue Pharmacy,Corner Jason Moyo and 6th Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
6th Street Dental Clinic,34 6th Street,Gweru,-19.4560784,29.8166452,Exact / Approximate
90 Fife Ave Medical Clinic,90 Fife Avenue,Harare,-17.8207561,31.0477721,Exact / Approximate
911 Direct,"Stand 286, AdylinnBluffhill",Harare,-17.8567035,31.0601584,Exact / Approximate
9th Avenue Surgery,Shop 339th Avenue AND Herbert Chitepo,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
A A Pharmacy,Stand 24588 Pumula South,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
A Chinhara Orthodontic Practice,52 East Road,Harare,-17.800373,31.0425039,Exact / Approximate
A Chinhara Orthodontic Practice,52 East RoadAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
A. Chinhara Orthodontic Practice,Shop 10 & 11 Upstairs Zonkizizwe Shops,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
A.O Clinic,26 Napier Road,Mvuma,-19.281896,30.531038,Exact / Approximate
Absolute Dental Services,"Flat 5 Masasa Court, 56B First Street",Marondera,-18.190098,31.545542,Exact / Approximate
Abundant Life Pharmacy,86 Robert Mugabe Way,Harare,-17.8193054,30.9193671,Exact / Approximate
Abwa Health (Physio),119 Pendennis RoadMt Pleasant,Harare,-17.8567035,31.0601584,Exact / Approximate
Abwa Health Surgery,119 Pendennis Road,Harare,-17.768786,31.0567774,Exact / Approximate
ABWA Medical Centre,40 Murara StreetMufakose,Harare,-17.8567035,31.0601584,Exact / Approximate
AC View Imaging Solutions,343 Seignuery Road,Chegutu,-18.1867654,30.39756,Exact / Approximate
Acacia Pharmacy,Shop 17 46 Robson Manyika Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Access Clinical Laboratories,19 Baines Avenue,Harare,-17.8179265,31.0533833,Exact / Approximate
Access Pharmaceuticals,3Stourbridge RoadDonnington,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Access Pharmaceuticals,19 Steelworks RoadSteeldale,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Access Radiology PVT LTD,76-8th Street,Gweru,-19.4578291,29.8140815,Exact / Approximate
Acculife Pharmacy,19247,Harare,-17.831773,31.045686,Exact / Approximate
Accurate X-ray,9 Baker Street,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Accutech Pathology Laboratories,133 Nelson Mandela Avenue/6th Street,Harare,-17.8567035,31.0601584,Exact / Approximate
Ace Air & Ambulance - Bulawayo,3 St Luke AvenueGarden Park,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Ace air & Ambulance (Pvt) Ltd Victoria Falls,"Elephant Walk Shopping VillageOffice 6, Second FloorAvondale",Victoria Falls,-17.922895,25.8476849,Exact / Approximate
Ace Air & Ambulance- Avondale,2 Mount RoadAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Ace Air & Ambulance Clinic,89 Madzima StreetMbare,Harare,-17.8567035,31.0601584,Exact / Approximate
Ace air & Ambulance Covid19 Testing,No. 2 Mount RoadAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Ace air & Ambulance Pvt Ltd Mutare,Suite 11 2nd FloorNo.123,Mutare,-18.974656,32.670473,Exact / Approximate
Active Life Physiotherapy,Flat 6 31 Baines Ave,Harare,-17.8567035,31.0601584,Exact / Approximate
Acute & Chronic Medical Unit (Dr H. Z Kuzanga),Suite 301 Lancet House9th Avenue/Josiah Tongogara,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
AD Med Suppliers (PVT) LTD,5RoutledgeMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
AD-Care Pharmacy- Haylet House,Shop 3 Halyet House9th Ave,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Adnah Medical Centre,"Stand 64, Madziva Township",Shamva,-17.1763039,31.6313775,Exact / Approximate
Advanced Care Clinic,369 Stotford ParadeMabelreign,Harare,-17.8567035,31.0601584,Exact / Approximate
Advanced Diagnostics Solutions,19755 Unit DSeke,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
Advanced Medicine Unit (A.M.U),50 Harvey Brown AvenueMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Adventist Dental Services,4 Princess DriveNewlands,Harare,-17.8567035,31.0601584,Exact / Approximate
Adventist Health Clinic,"Fountain Court, Corner Kwame Nkrumah Avenue / Park Street",Harare,-17.8567035,31.0601584,Exact / Approximate
Adventist Health Clinic - Ultrasound Scan,"Suite 5 Fountain Court, Corner Park Street/Kwame Nkrumah",Harare,-17.8567035,31.0601584,Exact / Approximate
Aedan Ambulances,3810 Nhoro RoadWindsor Park,Ruwa,-17.897155,31.237093,Exact / Approximate
Aedan Hospital,3810 Nhoro RoadWindsor Park,Ruwa,-17.897155,31.237093,Exact / Approximate
Aedan Pharmacy,5810 Nhoro CloseWindsor Park,Ruwa,-17.897155,31.237093,Exact / Approximate
Aerod Pharmacy-Bindura,7873 Acrodrome,Bindura,-17.2989727,31.3299701,Exact / Approximate
Affinity Pharmacy,58Chipindura Shops,Bindura,-17.2989727,31.3299701,Exact / Approximate
Afgate Clinic,"1st Floor, Afgate House, Cnr George Silundika / S.V Muzenda Street",Harare,-17.8567035,31.0601584,Exact / Approximate
Africa Diagnostics Bleeding Centre,Shop 5Southerton Shopping CentreSouthern,Harare,-17.8567035,31.0601584,Exact / Approximate
Africa Diagnostics Imaging,40 Josiah Chinamano Avenue,Harare,-17.8173866,31.0494631,Exact / Approximate
Africa Diagnostics Laboratory,60 Livingstone Avenue Cancer Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Africa Diagnostics T/A St Wilfred's Clinical Laboratory,Plot 2466Kambuzuma Section 6,Harare,-17.8567035,31.0601584,Exact / Approximate
Africa Dignostics Clinic,60 Livingstone Avenue,Harare,-17.8209049,31.0570521,Exact / Approximate
Africa House Medical Centre,100 Jason Moyo Avenue,Harare,-17.8299501,31.0531776,Exact / Approximate
Africa University Clinic,OFF NYANGA ROADNo. 1 Fairview Road,Mutare,-18.974656,32.670473,Exact / Approximate
Africa University Clinical Research Centre,132 Herbert Chitepo Street,Mutare,-18.9741954,32.670106,Exact / Approximate
Africa University Medical Research and Teaching Laboratory,Fairview Road / Off Nyanga Road,Mutare,-18.974656,32.670473,Exact / Approximate
African Chrome Fields Clinic,Plant 0 Chenyika Range,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Afrident Services,100 Jason Moyo Avenue,Harare,-17.8299501,31.0531776,Exact / Approximate
Afrihealth Pharmacy,1024 Gokwe Centre,Gokwe,-18.224982,28.953933,Exact / Approximate
Afrihelp Pharmacy,1024Gokwe Centre,Gokwe,-18.224982,28.953933,Exact / Approximate
Afropharm Health Pharmacy,Shop 24Stand 12248Sifra Complex,Harare,-17.8567035,31.0601584,Exact / Approximate
Afropharm Health Pharmacy,Shop 4Stand 14282Kuwadzana Extension,Harare,-17.8567035,31.0601584,Exact / Approximate
Afropharm Health Pharmacy-Dzivarasekwa,Shop 4Kembo Shops Dzivarasekwa Extension,Harare,-17.8567035,31.0601584,Exact / Approximate
Afrow Pharmacy,10217 Western Triangle Highfields,Harare,-17.8567035,31.0601584,Exact / Approximate
Agape Medical Clinic,64Shuvai Mahofa Street,Masvingo,-20.7453957,31.334138,Exact / Approximate
Agape Medical Clinic,Number 64 Shuvai Mahofa Street,Masvingo,-20.7453957,31.334138,Exact / Approximate
AIDS Healthcare Foundation Wellness Centre,Stand Number 10251 Glenview 8,Harare,-17.8567035,31.0601584,Exact / Approximate
Airport road Dental Clinic,3 Airport RoadCorner Airport & St Patricks,Harare,-17.8567035,31.0601584,Exact / Approximate
Akpen Makumbe Surgery,154 Moodie Street,Chipinge,-20.6177688,32.3786847,Exact / Approximate
AL Davies Clinic,24 Border Road,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Alaska Clinic,Alaska Mine HospitalStand No. 28259 Alaska,Chinhoyi,-17.3615308,30.1929353,Exact / Approximate
Albert Zinn Medical Centre,31 Rhodesville AvenueHighlands,Harare,-17.8567035,31.0601584,Exact / Approximate
Albert Zinn Medical Centre-Highlands,31 Rhodesville AvenueHighlands,Harare,-17.8567035,31.0601584,Exact / Approximate
Albion House Dental Surgery,"12660 Albion House, Albion Street",Harare,-17.8567035,31.0601584,Exact / Approximate
Alexandra Park Theatre,11 Dunkirk DriveAlexandra Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Alice Medical Clinic,2416 Nungu Chitepo,Marondera,-18.190098,31.545542,Exact / Approximate
Alimedi Pharmacy,78 Kaguvi Street,Harare,-17.8354079,31.0406989,Exact / Approximate
Alioth Pharmacy,Stand Number 571 Watsomba,Mutare,-18.974656,32.670473,Exact / Approximate
Alivio Pharmacy,92 Northfolk RoadMt Pleasant,Harare,-17.8567035,31.0601584,Exact / Approximate
All Saints Children's Hospital,20 Lincoln RoadHillside,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
