Facility Name,Physical Address,City,Latitude,Longitude
Brisewise Pharmcy,Shop 6Beverly Court 100 N.Mandela Avenue,Harare,,
Dental Practice,"8 Village Walk, Borrowdale Road",Harare,,
Department of Microbiology University of Zimbabwe,Parirenyatwa Hospital Ground Mazowe Street,Harare,,
Diamond Pharmacy-Masvingo,400 Robert Mugabe Way,Masvingo,,
Dis Smart Inv T/A New Murewa Pharmacy,571 Chigaga ComplexMurewa Township,Murewa,,
Dr Kundiona Surgery,16 Cleveland AvenueMilton Park,Harare,,
Fife Avenue Medical Centre Radiology,186 Fife Avenue,Harare,,
Haematology Centre,26 Blakiston Avenue Cnr Chinamano,Harare,,
Medical Specialists Centre,8 Elseworth Road Alexandra Park,Harare,,
Sky Dental Clinic,106B Corner 4th St and N. Mandeza Ave,Harare,,
Sky Dental Clinic,104 Nelson Mandela,Harare,,
Trinity Pharmacy,Stand 11798 Hatcliffe Extension,Harare,,
Westview Family Clinic,131 Westview Glendale,Harare,,
10th Street Clinic,"98C, 10th Street",Gweru,,
17 Chiremba Road Medical Centre,17 Chiremba Road Hillside,Harare,,
24 Hour Emergency Polyclinic,52A Cnr Robert Mugabe Way & 4th Avenue,Bulawayo,,
24 Hour Emergency Polyclinic,"52A Robert Mugabe Way, 4th Avenue",Bulawayo,,
24 Hour Health Centre,1297 Gona Crescent Dombotombo,Marondera,,
24 Hr Medical Centre,1120 Nketa 6,Bulawayo,,
24 St Mary's Medical Centre,306 Chatira BuildingSt Mary's,Chitungwiza,,
24Hr Kensington Medical Centre,1 Kenny RoadKensington,Harare,,
24HR Kensington Pharmacy,1 Kenny Road,Harare,,
2H Health Hub Pharmacy,1519 Low Density,Filabusi,,
35 Fife Avenue Hospital,35 Fife Avenue,Harare,,
360 Care Pharmacy,2 Albany Court27,Harare,,
3rd Avenue Pharmacy,49 Doolabh Building 3rd Avenue & Lobengula Street,Bulawayo,,
3rd Avenue Pharmacy-Plumtree,16 Thekwani Road,Plumtree,,
4th Street Dental Surgery,102 Nelson Mandela Greyhurst Building Suite 5,Harare,,
4th Street Family Practice,Suite 3 65 - 4th Street,Mutare,,
52 East Medical Centre (Dr Mudawarima),52 East Road Avondale,Harare,,
52 East Medical Centre-(Dr Manase),52 East Road Avondale,Harare,,
52 East Medical Centre-(Dr Viki),52 East Road Avondale,Harare,,
6th Avenue Pharmacy,Corner Jason Moyo and 6th Avenue,Bulawayo,,
6th Street Dental Clinic,34 6th Street,Gweru,,
90 Fife Ave Medical Clinic,90 Fife Avenue,Harare,,
911 Direct,"Stand 286, AdylinnBluffhill",Harare,,
9th Avenue Surgery,Shop 339th Avenue AND Herbert Chitepo,Bulawayo,,
A A Pharmacy,Stand 24588 Pumula South,Bulawayo,,
A Chinhara Orthodontic Practice,52 East Road,Harare,,
A Chinhara Orthodontic Practice,52 East RoadAvondale,Harare,,
A. Chinhara Orthodontic Practice,Shop 10 & 11 Upstairs Zonkizizwe Shops,Bulawayo,,
A.O Clinic,26 Napier Road,Mvuma,,
Absolute Dental Services,"Flat 5 Masasa Court, 56B First Street",Marondera,,
Abundant Life Pharmacy,86 Robert Mugabe Way,Harare,,
Abwa Health (Physio),119 Pendennis RoadMt Pleasant,Harare,,
Abwa Health Surgery,119 Pendennis Road,Harare,,
ABWA Medical Centre,40 Murara StreetMufakose,Harare,,
AC View Imaging Solutions,343 Seignuery Road,Chegutu,,
Acacia Pharmacy,Shop 17 46 Robson Manyika Avenue,Harare,,
Access Clinical Laboratories,19 Baines Avenue,Harare,,
Access Pharmaceuticals,3Stourbridge RoadDonnington,Bulawayo,,
Access Pharmaceuticals,19 Steelworks RoadSteeldale,Bulawayo,,
Access Radiology PVT LTD,76-8th Street,Gweru,,
Acculife Pharmacy,19247,Harare,,
Accurate X-ray,9 Baker Street,Kadoma,,
Accutech Pathology Laboratories,133 Nelson Mandela Avenue/6th Street,Harare,,
Ace Air & Ambulance - Bulawayo,3 St Luke AvenueGarden Park,Bulawayo,,
Ace air & Ambulance (Pvt) Ltd Victoria Falls,"Elephant Walk Shopping VillageOffice 6, Second FloorAvondale",Victoria Falls,,
Ace Air & Ambulance- Avondale,2 Mount RoadAvondale,Harare,,
Ace Air & Ambulance Clinic,89 Madzima StreetMbare,Harare,,
Ace air & Ambulance Covid19 Testing,No. 2 Mount RoadAvondale,Harare,,
Ace air & Ambulance Pvt Ltd Mutare,Suite 11 2nd FloorNo.123,Mutare,,
Active Life Physiotherapy,Flat 6 31 Baines Ave,Harare,,
Acute & Chronic Medical Unit (Dr H. Z Kuzanga),Suite 301 Lancet House9th Avenue/Josiah Tongogara,Bulawayo,,
AD Med Suppliers (PVT) LTD,5RoutledgeMilton Park,Harare,,
AD-Care Pharmacy- Haylet House,Shop 3 Halyet House9th Ave,Bulawayo,,
Adnah Medical Centre,"Stand 64, Madziva Township",Shamva,,
Advanced Care Clinic,369 Stotford ParadeMabelreign,Harare,,
Advanced Diagnostics Solutions,19755 Unit DSeke,Chitungwiza,,
Advanced Medicine Unit (A.M.U),50 Harvey Brown AvenueMilton Park,Harare,,
Adventist Dental Services,4 Princess DriveNewlands,Harare,,
Adventist Health Clinic,"Fountain Court, Corner Kwame Nkrumah Avenue / Park Street",Harare,,
Adventist Health Clinic - Ultrasound Scan,"Suite 5 Fountain Court, Corner Park Street/Kwame Nkrumah",Harare,,
Aedan Ambulances,3810 Nhoro RoadWindsor Park,Ruwa,,
Aedan Hospital,3810 Nhoro RoadWindsor Park,Ruwa,,
Aedan Pharmacy,5810 Nhoro CloseWindsor Park,Ruwa,,
Aerod Pharmacy-Bindura,7873 Acrodrome,Bindura,,
Affinity Pharmacy,58Chipindura Shops,Bindura,,
Afgate Clinic,"1st Floor, Afgate House, Cnr George Silundika / S.V Muzenda Street",Harare,,
Africa Diagnostics Bleeding Centre,Shop 5Southerton Shopping CentreSouthern,Harare,,
Africa Diagnostics Imaging,40 Josiah Chinamano Avenue,Harare,,
Africa Diagnostics Laboratory,60 Livingstone Avenue Cancer Centre,Harare,,
Africa Diagnostics T/A St Wilfred's Clinical Laboratory,Plot 2466Kambuzuma Section 6,Harare,,
Africa Dignostics Clinic,60 Livingstone Avenue,Harare,,
Africa House Medical Centre,100 Jason Moyo Avenue,Harare,,
Africa University Clinic,OFF NYANGA ROADNo. 1 Fairview Road,Mutare,,
Africa University Clinical Research Centre,132 Herbert Chitepo Street,Mutare,,
Africa University Medical Research and Teaching Laboratory,Fairview Road / Off Nyanga Road,Mutare,,
African Chrome Fields Clinic,Plant 0 Chenyika Range,Kwekwe,,
Afrident Services,100 Jason Moyo Avenue,Harare,,
Afrihealth Pharmacy,1024 Gokwe Centre,Gokwe,,
Afrihelp Pharmacy,1024Gokwe Centre,Gokwe,,
Afropharm Health Pharmacy,Shop 24Stand 12248Sifra Complex,Harare,,
Afropharm Health Pharmacy,Shop 4Stand 14282Kuwadzana Extension,Harare,,
Afropharm Health Pharmacy-Dzivarasekwa,Shop 4Kembo Shops Dzivarasekwa Extension,Harare,,
Afrow Pharmacy,10217 Western Triangle Highfields,Harare,,
Agape Medical Clinic,64Shuvai Mahofa Street,Masvingo,,
Agape Medical Clinic,Number 64 Shuvai Mahofa Street,Masvingo,,
AIDS Healthcare Foundation Wellness Centre,Stand Number 10251 Glenview 8,Harare,,
Airport road Dental Clinic,3 Airport RoadCorner Airport & St Patricks,Harare,,
Akpen Makumbe Surgery,154 Moodie Street,Chipinge,,
AL Davies Clinic,24 Border Road,Kwekwe,,
Alaska Clinic,Alaska Mine HospitalStand No. 28259 Alaska,Chinhoyi,,
Albert Zinn Medical Centre,31 Rhodesville AvenueHighlands,Harare,,
Albert Zinn Medical Centre-Highlands,31 Rhodesville AvenueHighlands,Harare,,
Albion House Dental Surgery,"12660 Albion House, Albion Street",Harare,,
Alexandra Park Theatre,11 Dunkirk DriveAlexandra Park,Harare,,
Alice Medical Clinic,2416 Nungu Chitepo,Marondera,,
Alimedi Pharmacy,78 Kaguvi Street,Harare,,
Alioth Pharmacy,Stand Number 571 Watsomba,Mutare,,
Alivio Pharmacy,92 Northfolk RoadMt Pleasant,Harare,,
All Saints Children's Hospital,20 Lincoln RoadHillside,Bulawayo,,
Alldays Pharmacy,14099 Cnr 10th Avenue/JMN Street,Bulawayo,,
Allergy Pharmacy,113 Kwame Nkrumah Avenue,Harare,,
Alleviate Pharmacy,18 Aerodrome Road,Mutare,,
Alliance Pharmacy,97 R.G Mugabe Way,Zvishavane,,
Alliemed Pharmacy,22296 Kuwadzana 2,Harare,,
Allies Pharmacy,Esihlengweni Suite 387 Josiah Tongogara Ave & 9th Ave,Bulawayo,,
Allymac Pharmacy,Shop 1 Stand 14043 Brundish Shopping Centre,Chinhoyi,,
Almond Pharmacy,Number 146 Chinhoyi Street,Harare,,
Alowell Avondale Pharmacy,14A King George RoadAvondale,Harare,,
Alowell Pharmacy,"Std Number 18010, 30 Chiremba RoadHillside",Harare,,
Alowell Pharmacy,585 Isaac CornerSam Levy,Harare,,
Alowell Pharmacy,46 Connet Rise Bond StreetMt Pleasant,Harare,,
Alowell Pharmacy - Masvingo,39-41 Cnr J. Tongogara & S. Muzenda,Masvingo,,
Alowell Pharmacy-Glenview,Stand No12279 MakomvaGlenview 8,Harare,,
Alpha Medical Centre,61232 Gwatidzo StreetMbare,Harare,,
Alpha Medical Clinic Pvt Ltd,55 4th Street,Mutare,,
Alphamed Pharmacy,Stand 5932 Angelbecks Plot Mbare,Harare,,
Alpom Pharmacy,8989 Spitzkop Business Centre,Gwanda,,
Alps Dental,33 Teviotdale RoadVainona,Harare,,
Alro Transport Industrial Clinic,No. 18418/9Mukuvisi Office Park,Harare,,
AM Surgery,17328 Ngoni,Norton,,
Amason Dental - Hillside Dental Surgery,183 Chiremba RoadBJ Southgate MallBraeside,Harare,,
Amason Dental- Cleveland Dental Surgery,Cleveland Medical Centre24 Cleveland RoadMilton Park,Harare,,
Amason Dental Ngezi,Stand Number 905 Turf GP,Ngezi,,
Amason Dental Surgery,167 Chinhoyi Street,Harare,,
Amason Dental Turf Dental Surgery,"5517 Turf, Ngezi",Mhondoro,,
Amaveni Clinic,Amaveni Township,Kwekwe,,
Amazing Grace Surgery,Number 4 First StreetParadise,Marondera,,
Amen Health for Women Clinic - Harare,104 Prince Edward StreetMilton Park,Harare,,
Amit-Care Radiology,127 Mbuya Nehanda,Harare,,
Ampath Medical Laboratories,3A Mupani RdOld Marimba,Harare,,
AMS Medical Laboratories,Shop 5Block CCIPF Complex,Ruwa,,
Amstes Surgery,2854 Dulibadzimu,Beitbridge,,
Anchor Distributors,104 McChelry AvenueEastlea,Harare,,
Anderen Health Surgery,53 Simon Muzenda Street,Masvingo,,
Andylee Medicals - Rimbi Surgery,Rimbi Business Centre,Chipinge,,
Angel Pharmacy,96/97 Main Street,Chipinge,,
Anglican Wabvuwi Memorial Clinic,Ward 16 St Clares Mission,Murewa,,
Angwa Dental Surgery,"No. 6 George Silundika, Angwa House",Harare,,
Anjin Industrial Clinic,Nechirasika VillageChiadzwa,Mutare,,
Annegold Healthcare,8 Luciano Court,Chinhoyi,,
Anosimudza Psychological Services,"4 Cuba Road, Venus HealthcareMt Pleasant",Harare,,
Apex 2 Surgery,199 Birchenough Bridge,Birchenough Bridge,,
Apex 24 Emergency Rooms,14663 Damafalls Park 1 Ruwa,Harare,,
Apex 24 Pharmacy,14663 Damafalls,Harare,,
Apex Dental Services,58 6th Street,Gweru,,
Apex Dental Services,Stand Number 14663Phase 1Damofalls,Ruwa,,
Apex Medical Centre,"Stand 461 Moses Zuva Complex,",Shurugwi,,
Apex Medical Laboratories,"1 Swiss Way, Harare Hospital Grounds",Harare,,
Apex Pharmacy,Shop 3 Elizabeth Mansions 65 6th Street,Gweru,,
Apex Pharmacy - Macheke,327 Nyazema Shops,Macheke,,
Apex Radiology,43 4th Street Winston Park,Marondera,,
Apoc Medical Clinic,"Shop Number 5 LongChen Plaza, Cnr Samora & Mutley BendBelvedere",Harare,,
Apotheca Pharmacy - Willowvale,"Bay 3 Mashwede Village Highglen, Stand 11310 Mashwede Mall",Harare,,
,,,,
Apple Pharmacy,Shop G02Forestry Commissin Building71 Fife Street,Bulawayo,,
Aquamed Pharmacy,Shop 5Kingsmead House154 Mbuya Nehanda,Harare,,
Aravas Pharmaceuticals,4471 Prospect Industrial Area Waterfalls,Harare,,
Araya Physiotherapy,32Josiah Tongogara Avenue,Harare,,
Arc Pharmacy,19622/15Dube Complex Mbizo,Kwekwe,,
Arcade Pharmacy,Shop No. 4First Mutual Centre,Mutare,,
Arcadia Medical Centre,2A Bardia RoadArcadia,Harare,,
Arcadia Medical Centre Pharmacy,2Bardia RoadArcadia,Harare,,
Archmed Diagnostic Services,Corner 2nd and 3rd Street,Kwekwe,,
Arco-Iris Family Clinic,"12 Volendam Court, Corner Harare Street & Tongogara",Harare,,
Arcturus Mine Clinic,P.Box 14ArcturusGreendale,Harare,,
Arda Medical Centre,Stand Number 1985,Sanyati,,
Ardbennie Dental Surgery,1561 Fairview RoadMbare,Harare,,
Ardbennie Medical Centre,1st Floor Karigamudungwe Building1561 Finnerman RoadArdbennie,Harare,,
Ardbennie Pharmacy,1 Boshoff DriveArdbennie,Harare,,
Ariedem Healthcare,1004 St Marys,Chitungwiza,,
Arimed Pharmacy,"20 Ndongwe Road, Old Tafara Shops",Harare,,
Arimed Pharmacy,"Stand 40381, MCH Fuels Complex",Harare,,
ARM Heyes Optometrist (PVT) LTD,No. 2 ZB House First Street Cnr Speke Avenue,Harare,,
ARM Heyes Optometrist (PVT) LTD - ZB House,96 Fife Avenue Cnr Sam Nujoma Street,Harare,,
Arundel Hospital Radiology,92Northfolk Road,Harare,,
Arundel Village Pharmacy,Shop 13&14Arundel Shopping CentreQuorn Avenue,Harare,,
Asamed PVT LTD T/A One Stop Pharmacy,Shop Number 6Lapf CentreCorner Jason moyo/Chinhoyi Street,Harare,,
Asca Health Care Pvt Ltd,Unit 1 finance Hse60,Harare,,
Asclepius Pharmacy,212 WillowcreekGoodhope,Harare,,
Ascot Pharmacy,Shop 27 Ascot Shopping Centre,Bulawayo,,
Asdepius Medical Centre T/A Goodhope 24HR,212 WillowcreekGoodhope,Harare,,
Ashbrittle Pharmacy,"44 Golden Stairs, Emerald Hill, Harare",Harare,,
Asher Pharmacy,5551Budiriro 4 ShopsBudiriro,Harare,,
Ashvee Dental Surgery,1058,Beitbridge,,
Aspindale Dental Clinic,3AMupani RoadOld Marimba,Harare,,
Aspired Healthcare Family Practice,135 Kwame Nkrumah,Harare,,
Assisthealth Pharmacy,26606 Budiriro 2 TownshipShop 4,Harare,,
Asteroid Health,Flat 8 Kennedy CourtChimoi Street,Rusape,,
Asthma Allergy and Immunology Clinic,3770 Malindela,Bulawayo,,
Astra Industrial Clinic,14 Burnely Road Workington,Harare,,
Astra Paints Clinic,6272 Donnington,Bulawayo,,
Astra Pharmacy Nyanga,318Nyamhuka 1 Shops,Nyanga,,
Astrid Ambulances,17A 2nd Avenue &Fife Avenue,Bulawayo,,
Athlone Family Clinic,85 Greengrove DriveGreendale,Harare,,
Athol Evans Nursing Home,P.O Box CR70Cranbourne,Harare,,
Athol Evans Nursing Home,117AChiremba RoadCranborne,Harare,,
Atidacheryl Investments T/A ACI Medical Centre,1009 1st StreetHatcliffe,Harare,,
Atlaspharm Pharmacy,"Number 1, 1st AvenueMabelreign",Harare,,
